Library Element,AIE_VARIANT,UUT_KERNEL,TT_DATA,TT_TWIDDLE,TP_POINT_SIZE,TP_CASC_LEN,TP_NUM_FRAMES,TP_FFT_NIFFT,TP_SHIFT,TP_API,TP_RND,TP_SAT,TP_SSR,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,DATA_MEMORY,PROGRAM_MEMORY
dft,AIE,dft,cint16,cint16,128,4,1,0,0,0,0,0,2,1,1,1,1395,421,353,458,36,8,78196,1772 1772 1772 1860 1772 1772 1772 1860
dft,AIE,dft,cint16,cint16,128,1,1,0,0,0,0,0,4,1,1,1,1362,272,544,294,24,4,75456,2278 2278 2278 2278
dft,AIE,dft,cint16,cint16,128,2,1,0,0,0,0,0,4,1,1,1,952,460,316,506,38,8,80248,2194 1860 1860 2194 2194 1860 1860 2194
dft,AIE,dft,cint16,cint16,128,4,1,0,0,0,0,0,4,1,1,1,1062,719,195,820,70,16,89832,1860 2194 1772 1772 1772 1772 2194 1860 1860 2194 1772 1772 1772 1772 2194 1860
dft,AIE,dft,cint16,cint16,128,2,16,0,0,0,0,0,1,1,1,1,43743,138,18468,138,15,2,100702,1808 1896
dft,AIE,dft,cint16,cint16,128,4,16,0,0,0,0,0,1,1,1,1,24550,248,10278,249,22,4,103098,1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,16,0,0,0,0,0,2,1,1,1,40199,147,17368,147,16,2,117088,1896 1896
dft,AIE,dft,cint16,cint16,128,2,16,0,0,0,0,0,2,1,1,1,21779,273,9317,274,23,4,119484,1808 1880 1808 1880
dft,AIE,dft,cint16,cint16,128,4,16,0,0,0,0,0,2,1,1,1,12420,487,5222,490,36,8,124276,1808 1808 1808 1896 1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,16,0,0,0,0,0,4,1,1,1,18857,300,8473,302,25,4,152256,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,128,2,16,0,0,0,0,0,4,1,1,1,10653,543,4675,547,40,8,157048,2252 1896 1896 2252 2252 1896 1896 2252
dft,AIE,dft,cint16,cint16,128,4,16,0,0,0,0,0,4,1,1,1,6355,940,2694,950,67,16,166632,2252 1880 1808 1808 1808 1808 1880 2252 2252 1880 1808 1808 1808 1808 1880 2252
dft,AIE,dft,cint16,cint16,128,1,16,0,0,0,0,0,8,1,1,1,8912,585,4329,591,47,8,222592,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,128,2,16,0,0,0,0,0,8,1,1,1,5005,1087,2323,1102,76,16,232176,1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,128,4,16,0,0,0,0,0,8,1,1,1,3012,1928,1301,1967,142,32,251344,1860 1772 1772 1772 1772 1772 1772 1860 1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1772 1860 1772
dft,AIE,dft,cint16,cint16,128,1,1,0,0,0,0,0,8,1,1,1,739,490,285,561,42,8,84352,1824 1824 1824 1824 1824 1824 1824 1824
dft,AIE,dft,cint16,cint16,128,2,1,0,0,0,0,0,8,1,1,1,721,790,172,935,74,16,93936,1714 1840 1840 1714 1714 1840 1840 1714 1714 1840 1840 1714 1714 1840 1840 1714
dft,AIE,dft,cint16,cint16,128,4,1,0,0,0,0,0,8,1,1,1,742,1153,111,1441,138,32,113104,1840 1714 1730 1730 1730 1730 1714 1840 1714 1840 1730 1730 1730 1730 1840 1714 1714 1840 1730 1730 1730 1730 1840 1714 1714 1840 1730 1730 1730 1730 1840 1714
dft,AIE,dft,cint16,cint16,128,2,2,0,0,0,0,0,1,1,1,1,5752,135,2338,136,15,2,72030,1808 1896
dft,AIE,dft,cint16,cint16,128,4,2,0,0,0,0,0,1,1,1,1,3408,238,1318,242,22,4,74426,1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,2,0,0,0,0,0,2,1,1,1,5216,143,2192,145,16,2,74080,1896 1896
dft,AIE,dft,cint16,cint16,128,2,2,0,0,0,0,0,2,1,1,1,3007,261,1194,268,20,4,76476,1808 1896 1808 1896
dft,AIE,dft,cint16,cint16,128,4,2,0,0,0,0,0,2,1,1,1,1894,449,686,469,36,8,81268,1808 1808 1808 1896 1808 1808 1808 1896
dft,AIE,dft,cint16,cint16,128,1,2,0,0,0,0,0,4,1,1,1,2548,285,1081,296,27,4,80576,2324 2324 2324 2324
dft,AIE,dft,cint16,cint16,128,2,2,0,0,0,0,0,4,1,1,1,1622,493,615,520,39,8,85368,2252 1896 1896 2252 1896 2252 2252 1896
dft,AIE,dft,cint16,cint16,128,4,2,0,0,0,0,0,4,1,1,1,1413,807,370,864,70,16,94952,2252 1896 1808 1808 1808 1808 1896 2252 2252 1896 1808 1808 1808 1808 1896 2252
dft,AIE,dft,cint16,cint16,128,1,2,0,0,0,0,0,8,1,1,1,1307,528,564,568,44,8,93568,1876 1876 1876 1876 1876 1876 1876 1876
dft,AIE,dft,cint16,cint16,128,2,2,0,0,0,0,0,8,1,1,1,910,907,321,996,74,16,103152,1876 1788 1788 1876 1788 1876 1876 1788 1788 1876 1876 1788 1788 1876 1876 1788
dft,AIE,dft,cint16,cint16,128,4,2,0,0,0,0,0,8,1,1,1,720,1438,195,1641,138,32,122320,1860 1772 1772 1772 1772 1772 1772 1860 1772 1860 1772 1772 1772 1772 1860 1772 1772 1772 1860 1772 1772 1860 1772 1772 1772 1860 1772 1772 1772 1772 1860 1772
dft,AIE,dft,cint16,cint16,128,2,32,0,0,0,0,0,1,1,1,1,87160,138,36898,138,18,2,133470,1896 1808
dft,AIE,dft,cint16,cint16,128,4,32,0,0,0,0,0,1,1,1,1,48723,249,20518,249,24,4,135866,1808 1808 1808 1896
