Test Name,UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DIM_SIZE,NUM_FRAMES,GRID_DIM,CASC_LEN,DIAG_INV,NITER,COMPILE,SIM,FUNC,Latency,Throughput,cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
test_812_aie22_hw_qor,cholesky,22,float,80,10,5,4,0,16,1,1,1,2334346,138,291653,751,385,50,50,128,1604822,3304 3304 3666 3288 3304 3304 3666 3172 3304 3304 3704 3172 3304 3304 3172 3304 3304 3654 5484 5912 5912 3538 3530 3704 3534 3666 3304 3304 3288 3654 3288 3538 3288 5732 3288 3304 3304 3704 3666 3566 3704 3518 3288 3288 3288 3304 3654 5732 5912 3538
test_813_aie2_hw_qor,cholesky,2,cfloat,136,1,2,2,0,16,default,default,default,,,,,,,,,,
test_814_aie22_hw_qor,cholesky,22,cfloat,56,1,1,6,1,16,1,1,1,929174,32,100649,47,74,6,6,14,383836,4756 5446 5442 5442 5442 5202
test_815_aie22_hw_qor,cholesky,22,cfloat,40,30,5,10,0,16,default,default,default,,,,,,,,,,
test_816_aie2_hw_qor,cholesky,2,cfloat,96,1,2,1,1,16,default,default,default,,,,,,,,,,
test_817_aie2_hw_qor,cholesky,2,cfloat,112,3,4,1,1,16,default,default,default,,,,,,,,,,
test_818_aie1_hw_qor,cholesky,1,cfloat,4,1,1,2,0,16,1,1,1,898,98,159,125,10,2,2,3,9890,1666 1702
test_819_aie2_hw_qor,cholesky,2,cfloat,4,167,1,2,0,16,1,1,1,1690869,7,455372,7,23,2,2,5,137392,7840 7808
test_820_aie1_hw_qor,cholesky,1,cfloat,12,71,3,2,1,16,1,1,1,82909,375,22650,377,88,12,12,22,381828,2098 1928 1892 2266 2156 2178 1860 1880 2066 2288 2156 1922
test_821_aie2_hw_qor,cholesky,2,cfloat,52,2,1,1,1,16,default,default,default,,,,,,,,,,
test_822_aie22_hw_qor,cholesky,22,cfloat,24,7,1,2,0,16,1,1,1,1044635,16,249128,16,30,2,2,5,203380,5294 5260
test_823_aie1_hw_qor,cholesky,1,cfloat,20,57,5,5,0,16,1,1,1,169498,788,21646,946,311,61,61,117,1388975,1826 2140 1938 1954 1906 1938 2352 2034 2098 2034 2220 2082 1874 2050 2050 1918 2114 2066 2034 1922 1938 1918 2034 2098 2034 1874 1836 2098 2082 2050 1938 1870 2034 2160 1938 1886 2034 2160 1888 1982 1876 1938 1886 2034 2144 1888 1876 1966 1874 1858 2050 2112 1888 1982 1876 1904 1924 2118 1982 1888 1954
test_824_aie22_hw_qor,cholesky,22,cfloat,72,3,3,7,0,16,default,default,default,,,,,,,,,,
test_825_aie2_hw_qor,cholesky,2,cfloat,32,18,2,3,1,16,default,default,default,,,,,,,,,,
test_826_aie22_hw_qor,cholesky,22,cfloat,336,1,6,2,1,16,default,default,default,,,,,,,,,,
test_827_aie1_hw_qor,cholesky,1,cfloat,40,21,5,9,1,16,1,1,1,494745,1780,40808,725,737,102,102,282,3226522,3340 2346 2394 2362 2378 2362 2362 2362 2394 2930 2138 2154 2154 2106 2106 2106 2154 2138 2144 2620 2378 2362 2394 2362 2362 2394 2362 2144 2620 2378 2394 2362 2362 2394 2362 2362 2498 2138 1992 2154 2154 2106 2106 2106 2138 2394 2128 2716 2394 2394 2394 2362 2144 2684 2394 2394 2362 2362 2346 2144 2716 2394 2394 2362 2362 2346 2346 2134 2428 2194 2394 2476 2162 2150 1976 2106 2514 2650 2154 2154 2106 2394 2428 2134 2194 2730 2284 2198 2150 2682 2476 2378 2162 2870 2122 2122 2138 2106 2106 2106 2122 2106
test_828_aie1_hw_qor,cholesky,1,float,176,1,2,7,1,16,1,1,1,940424,158,139492,15504,141,21,21,43,850375,1982 3248 3248 3248 3000 3248 3248 2486 3048 3048 3048 2808 3048 3048 3292 2014 2014 2014 2014 2014 2014
test_829_aie2_hw_qor,cholesky,2,cfloat,8,378,2,2,1,16,default,default,default,,,,,,,,,,
test_830_aie22_hw_qor,cholesky,22,float,32,8,2,2,0,16,1,1,1,504871,57,112965,57,35,6,6,10,175412,3530 3534 3666 3704 3172 5484
test_831_aie2_hw_qor,cholesky,2,float,16,11,2,7,1,16,1,1,1,875899,36,78064,37,87,19,19,28,210719,7792 7984 7824 8000 7856 7984 1824 1968 1856 2000 1872 2000 1632 1760 1632 1760 1632 1632 7664
test_832_aie2_hw_qor,cholesky,2,cfloat,56,2,2,7,1,16,1,1,1,1863354,33,176579,33,150,21,21,31,705936,10192 2608 2464 2816 2464 3360 2464 3408 2464 3408 2464 3408 2464 3392 8624 8112 9424 9360 9424 9440 9456
test_833_aie2_hw_qor,cholesky,2,float,104,1,1,3,0,16,default,default,default,,,,,,,,,,
test_834_aie1_hw_qor,cholesky,1,float,8,7,1,8,0,16,1,1,1,4169,943,551,1016,40,8,8,12,68744,1746 1748 1774 1822 1824 1732 1728 1702
test_835_aie2_hw_qor,cholesky,2,cfloat,56,5,2,6,0,16,1,1,1,4499962,29,490544,96,213,18,18,38,1406080,8640 8192 9424 9440 9408 9440 2640 3408 10240 2464 3376 2816 3408 3408 2464 2464 2464 2464
test_836_aie22_hw_qor,cholesky,22,float,384,1,6,4,1,16,default,default,default,,,,,,,,,,
test_837_aie1_hw_qor,cholesky,1,cfloat,8,37,1,5,0,16,1,1,1,47651,208,9023,328,32,5,5,10,136789,1870 1902 1918 1838 2158
test_838_aie2_hw_qor,cholesky,2,float,24,10,1,4,0,16,1,1,1,1194031,38,185776,179,40,4,4,8,249084,8496 9200 8672 9392
test_839_aie1_hw_qor,cholesky,1,cfloat,160,2,4,4,0,16,1,1,1,1080602,130,228047,818,257,36,36,72,1360404,2688 2728 2714 2966 2960 2750 2960 2728 2688 2960 2728 2688 2120 2120 3242 2750 2438 2438 3464 2728 2438 3464 2728 2438 2120 2120 2120 3042 2438 2438 3220 2438 2086 2086 3038 2086
test_840_aie22_hw_qor,cholesky,22,cfloat,96,5,4,1,1,16,default,default,default,,,,,,,,,,
test_841_aie1_hw_qor,cholesky,1,cfloat,60,8,3,4,1,16,1,1,1,590189,138,133119,600,146,21,21,39,791511,2074 2074 2074 3040 3668 3938 2426 2426 2736 2754 2108 2108 3660 3838 3646 2748 2922 2736 3660 3838 3646
test_842_aie1_hw_qor,cholesky,1,float,432,1,6,3,1,16,default,default,default,,,,,,,,,,
test_843_aie22_hw_qor,cholesky,22,float,32,7,1,10,1,16,1,1,1,1037878,285,70151,536,115,10,10,20,678526,4238 4228 4286 4280 4386 4416 4530 4416 4440 4416
test_844_aie2_hw_qor,cholesky,2,float,256,1,4,2,1,16,default,default,default,,,,,,,,,,
test_845_aie22_hw_qor,cholesky,22,float,16,3,1,6,1,16,1,1,1,180020,51,15597,426,28,6,6,7,70962,3642 3324 3626 3220 3234 3216
test_846_aie22_hw_qor,cholesky,22,float,96,9,6,2,1,16,1,1,1,1729592,132,382993,132,323,36,36,76,1218373,3542 6058 3704 3304 5912 3304 5912 3304 5912 3172 5468 3458 3542 6058 5912 3704 3304 5796 3288 3542 6058 5796 3704 3288 5918 3542 3602 3542 6058 3704 3304 5912 3304 5912 3288 5796
test_847_aie1_hw_qor,cholesky,1,cfloat,260,1,5,4,0,16,default,default,default,,,,,,,,,,
test_848_aie1_hw_qor,cholesky,1,float,160,3,5,2,1,16,1,1,1,751483,288,199980,1006,212,25,25,61,1101347,2162 3494 2592 2242 3728 3486 2624 3712 2838 3334 2934 3334 2934 2838 2624 3712 2242 3438 3334 2934 2838 2716 3106 2978 2838
test_849_aie22_hw_qor,cholesky,22,float,320,2,5,1,0,16,default,default,default,,,,,,,,,,
test_850_aie2_hw_qor,cholesky,2,float,176,1,2,8,0,16,1,1,1,4795269,193,424045,160,251,22,22,40,1662347,9552 9296 9056 9552 9536 9552 9552 3040 3456 3456 2352 2352 2352 3456 3248 3456 3456 2352 2352 2352 2352 8832
test_851_aie2_hw_qor,cholesky,2,cfloat,60,14,3,2,0,16,1,1,1,5842773,15,1961511,21,142,12,12,24,864324,3136 4448 3152 2640 10160 2416 9184 3152 9168 3136 10384 2464
test_852_aie1_hw_qor,cholesky,1,cfloat,8,3,1,7,1,16,1,1,1,3255,472,467,516,35,7,7,13,56951,2004 1808 1806 2046 2046 1982 1966
test_853_aie2_hw_qor,cholesky,2,float,8,96,1,4,1,16,1,1,1,2864912,17,427571,88,41,4,4,9,264028,7840 7648 7664 7728
test_854_aie22_hw_qor,cholesky,22,cfloat,16,48,2,3,1,16,1,1,1,2597289,23,419885,23,93,9,9,19,631769,7402 4602 4116 4600 4116 4460 4620 4598 4612
test_855_aie2_hw_qor,cholesky,2,float,192,3,3,4,0,16,default,default,default,,,,,,,,,,
test_856_aie22_hw_qor,cholesky,22,cfloat,120,8,5,7,1,16,default,default,default,,,,,,,,,,
test_857_aie1_hw_qor,cholesky,1,cfloat,16,100,4,9,1,16,1,1,1,309280,2667,26158,2732,485,67,67,176,2355297,1888 1966 1942 1904 2138 2028 2110 2162 2110 2162 1874 1904 1874 1942 1874 1874 1966 1888 1840 2186 2028 2186 1966 2076 2076 2186 1938 1888 1938 1982 1938 1938 2186 1872 1938 1938 1982 2060 1938 1938 1826 2176 1858 1874 1874 1884 1858 1874 1874 1938 1922 1938 1922 1938 1938 1906 1886 2160 1810 1810 1826 1826 1938 1826 2156 1826 1810
test_858_aie2_hw_qor,cholesky,2,cfloat,88,3,2,5,1,16,default,default,default,,,,,,,,,,
test_859_aie1_hw_qor,cholesky,1,cfloat,96,1,3,2,0,16,1,1,1,217081,130,58803,169,65,12,12,18,355108,2812 2832 2846 2798 3046 2158 2846 2510 2782 3342 2126 3030
test_860_aie2_hw_qor,cholesky,2,float,32,14,2,4,1,16,1,1,1,2037386,43,307895,216,87,12,12,17,485552,8640 8560 8736 8720 2864 2848 2976 2976 2384 9952 2384 2384
test_861_aie1_hw_qor,cholesky,1,cfloat,4,3,1,2,1,16,1,1,1,1864,115,481,246,12,2,2,4,11426,1748 1712
test_862_aie2_hw_qor,cholesky,2,cfloat,16,496,4,1,1,16,default,default,default,,,,,,,,,,
test_863_aie1_hw_qor,cholesky,1,float,16,78,2,10,1,16,1,1,1,234735,579,23837,821,153,26,26,55,698282,1552 1830 1678 1678 1678 1678 1678 1678 1678 1678 1714 1788 1780 1884 1802 1788 1838 1882 1760 1782 1734 1806 1862 1860 1730 1746
test_864_aie2_hw_qor,cholesky,2,cfloat,16,247,4,2,0,16,default,default,default,,,,,,,,,,
test_865_aie1_hw_qor,cholesky,1,cfloat,104,1,2,3,1,16,1,1,1,384918,72,97525,238,60,9,9,17,307779,2738 3008 2746 2622 2670 2864 2942 1998 1998
test_866_aie22_hw_qor,cholesky,22,cfloat,16,4,1,7,1,16,1,1,1,289174,42,25108,42,34,7,7,8,164630,5012 5008 4944 4916 4916 4884 4822
test_867_aie2_hw_qor,cholesky,2,cfloat,40,19,5,2,1,16,1,1,1,2313137,37,614076,37,221,25,25,39,893866,8464 2768 2448 8464 2768 2560 2768 2448 10000 2768 2768 2560 4224 2560 10000 2448 2768 2768 2560 2560 4224 2560 9792 4224 2320
test_868_aie22_hw_qor,cholesky,22,cfloat,32,7,2,6,1,16,1,1,1,1941763,32,176081,122,124,18,18,24,688050,4642 5118 5134 5208 5208 5280 5134 5200 5216 4624 4624 4624 5168 4682 4624 5044 4624 8530
