Library Element,Test Name,AIE_VARIANT,UUT_KERNEL,T_DATA_A,T_DATA_B,DATA_OUT_TYPE,P_DIM_A,P_DIM_AB,P_DIM_B,P_SHIFT,P_ROUND_MODE,P_SAT_MODE,P_DIM_A_LEADING,P_DIM_B_LEADING,P_DIM_OUT_LEADING,P_ADD_TILING_A,P_ADD_TILING_B,P_ADD_DETILING_OUT,P_INPUT_WINDOW_VSIZE_A,P_INPUT_WINDOW_VSIZE_B,P_CASC_LEN,UUT_SSR,SINGLE_BUF,COMPILE,SIM,FUNC,Latency (ns),Throughput (MSa/s),cycleCountAvg,throughputCycleCount,NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
matrix_mult,test_285_aie1_hw_qor,AIE,matrix_mult,cfloat,float,cfloat,2328,24,8,0,0,0,0,1,0,0,0,0,55872,192,3,12,0,1,1,1,21720,2333,9928,2345 MSa/s,288,36,36,88,1298160,2508 2596 2140 2508 2596 2140 2508 2596 2140 2508 2596 2140 2508 2596 2140 2508 2508 2596 2140 2508 2596 2140 2508 2596 2596 2140 2508 2596 2140 2508 2596 2140 2140 2508 2596 2140
matrix_mult,test_286_aie1_hw_qor,AIE,matrix_mult,int16,int16,int32,8,1088,16,16,0,0,0,0,1,0,0,0,8704,17408,8,1,0,1,1,1,3827,146,1124,142 MSa/s,39,8,8,14,122921,1856 1904 1904 1904 1904 1904 1904 1980
matrix_mult,test_290_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,588,72,4,0,0,0,0,0,1,0,0,0,42336,288,9,3,0,1,1,0,10500,572,5123,573 MSa/s,189,27,27,54,794703,2226 2226 2226 2226 2226 2226 2226 2294 2146 2226 2226 2226 2226 2226 2226 2226 2294 2146 2226 2226 2226 2226 2226 2226 2226 2294 2146
matrix_mult,test_294_aie1_hw_qor,AIE,matrix_mult,int16,cint16,cint16,20,16,720,16,0,0,0,1,1,0,0,0,320,11520,4,5,0,1,1,1,27768,6239,956,18828 MSa/s,160,20,20,45,620930,1746 1796 1796 1916 1746 1796 1796 1916 1746 1796 1796 1916 1746 1796 1796 1916 1746 1796 1796 1916
matrix_mult,test_296_aie1_hw_qor,AIE,matrix_mult,cint32,cint32,cint32,44,1872,4,16,0,0,0,1,0,0,0,0,82368,7488,12,2,0,1,1,1,22563,15,7523,29 MSa/s,170,24,24,50,953766,1700 1776 1776 1776 1776 1776 1776 1776 1776 1776 1776 1880 1700 1776 1776 1776 1776 1776 1776 1776 1776 1776 1776 1880
matrix_mult,test_297_aie1_hw_qor,AIE,matrix_mult,int32,cint32,cint32,2,4,646,16,0,0,0,0,1,0,0,0,8,2584,1,1,0,1,1,1,81388,190,3274,493 MSa/s,10,1,1,3,43593,1780
matrix_mult,test_298_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,2,336,4,0,0,0,1,0,0,0,0,0,672,1344,7,1,0,1,1,1,1930,25,396,25 MSa/s,33,7,7,13,44076,1808 1840 1840 1840 1840 1840 1900
matrix_mult,test_299_aie1_hw_qor,AIE,matrix_mult,cfloat,float,cfloat,16,11424,4,0,0,0,0,0,0,0,0,0,182784,45696,6,8,0,default,default,default,,,,,,,,,,
matrix_mult,test_300_aie1_hw_qor,AIE,matrix_mult,cint32,int32,cint32,14864,8,2,16,0,0,1,1,1,0,0,0,118912,16,4,8,0,1,1,1,13604,3058,4688,7926 MSa/s,256,32,32,77,1259992,1546 1546 1552 1534 1546 1546 1552 1534 1546 1546 1552 1534 1546 1546 1552 1534 1546 1546 1552 1534 1534 1546 1546 1552 1534 1546 1546 1552 1546 1546 1552 1534
matrix_mult,test_310_aie1_hw_qor,AIE,matrix_mult,cint32,int32,cint32,2192,20,8,16,0,0,1,0,1,0,0,0,43840,160,2,8,0,1,1,1,24733,1208,12623,1736 MSa/s,104,16,16,32,536184,1682 1744 1682 1744 1682 1744 1682 1744 1682 1744 1682 1744 1682 1744 1682 1744
matrix_mult,test_311_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,4,2,60,16,0,0,0,1,1,0,0,0,8,120,1,1,0,1,1,1,4486,615,251,1195 MSa/s,7,1,1,2,8009,1914
matrix_mult,test_312_aie1_hw_qor,AIE,matrix_mult,cint16,cint16,cint16,2052,24,28,16,0,0,0,0,0,0,0,0,49248,672,1,9,0,1,1,1,49991,2101,27513,2610 MSa/s,72,9,9,18,494865,1750 1750 1750 1750 1750 1750 1750 1750 1750
matrix_mult,test_318_aie1_hw_qor,AIE,matrix_mult,float,cfloat,cfloat,28,4,4,0,0,0,0,1,0,0,0,0,112,16,1,14,0,1,1,1,934,1349,42,3333 MSa/s,98,14,14,28,40432,1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632 1632
matrix_mult,test_319_aie1_hw_qor,AIE,matrix_mult,cint16,int32,cint32,64,24,12,16,0,0,1,1,0,0,0,0,1536,288,1,1,0,1,1,1,15915,135,7047,136 MSa/s,7,1,1,2,29065,3128
matrix_mult,test_322_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,2288,8,14,16,0,0,0,0,1,0,0,0,18304,112,1,4,0,1,1,1,26017,2164,10456,3829 MSa/s,40,4,4,12,213668,1704 1704 1704 1704
matrix_mult,test_323_aie1_hw_qor,AIE,matrix_mult,float,float,float,944,64,4,0,0,0,0,0,1,0,0,0,60416,256,2,4,0,1,1,1,14574,370,5164,914 MSa/s,60,8,8,16,299560,1742 1870 1742 1870 1742 1870 1742 1870
matrix_mult,test_330_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,16676,20,2,0,0,0,0,1,1,0,0,0,333520,40,10,11,0,default,default,default,,,,,,,,,,
matrix_mult,test_331_aie1_hw_qor,AIE,matrix_mult,float,float,float,280,32,32,0,0,0,1,0,1,0,0,0,8960,1024,2,14,0,1,1,1,5254,5090,2172,5156 MSa/s,126,28,28,56,326284,1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980 1880 1980
matrix_mult,test_336_aie1_hw_qor,AIE,matrix_mult,cfloat,cfloat,cfloat,6760,20,4,0,0,0,1,0,1,0,0,0,135200,80,5,10,0,default,default,default,,,,,,,,,,
matrix_mult,test_337_aie1_hw_qor,AIE,matrix_mult,cint16,cint32,cint32,134,16,16,16,0,0,1,0,0,0,0,0,2144,256,1,1,0,1,1,1,43189,143,14356,186 MSa/s,10,1,1,3,40585,1820
matrix_mult,test_339_aie1_hw_qor,AIE,matrix_mult,int32,int32,int32,368,224,36,16,0,0,0,1,1,0,0,0,82432,8064,14,2,0,1,1,1,62690,595,26595,622 MSa/s,192,28,28,54,902626,2308 2308 2308 2308 2308 2308 2308 2308 2308 2308 2308 2278 2200 2308 2308 2308 2308 2308 2308 2308 2308 2308 2308 2308 2308 2278 2200 2308
