UUT_KERNEL,DATA_A,DATA_B,DIM_A,DIM_B,DIM_A_LEADING,SHIFT,ROUND_MODE,SAT_MODE,NUM_FRAMES,CASC_LEN,UUT_SSR,USE_MATRIX_RELOAD,API_IO,DUAL_IP,NUM_OUTPUTS,AIE_VARIANT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
matrix_vector_mul,int16,int32,32,416,1,0,0,0,4,4,1,0,0,0,1,2,,1,1,1,16528.0,9993.0,8347.2,16528.0,9993.99,5328.0,3676.0,18106.63,43.0,4.0,4.0,8.0,236090.0,1280 1344 1344 1392
matrix_vector_mul,float,cfloat,16,12,1,0,0,0,88,1,2,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,float,cfloat,728,512,1,0,0,0,2,8,7,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,int16,int16,96,2368,1,0,0,0,1,4,2,0,0,0,1,2,,1,1,1,45683.0,15922.0,17198.4,45598.05,15912.19,14256.73,3840.0,74000.0,78.0,8.0,8.0,16.0,491508.0,1312 1328 1328 1376 1312 1328 1328 1376
matrix_vector_mul,cfloat,float,128,8,1,0,0,0,1,1,8,0,0,0,1,2,,1,1,1,11051.0,1019.0,1256.0,11080.0,1020.73,1003.2,1218.0,1050.9,56.0,8.0,8.0,16.0,38536.0,2256 2256 2256 2256 2256 2256 2256 2256
matrix_vector_mul,int32,cint32,24,128,1,0,0,0,114,8,3,0,0,0,1,22,,1,1,1,72202.0,14286.0,25292.8,72176.36,14286.33,24486.26,16144.0,27115.95,318.0,24.0,24.0,48.0,2198340.0,1210 1210 1210 1284 1170 1210 1210 1210 1210 1210 1210 1284 1170 1210 1210 1210 1210 1210 1210 1284 1170 1210 1210 1210
matrix_vector_mul,float,cfloat,1800,4,1,0,0,0,10,1,9,1,0,0,1,22,,1,1,1,179749.0,1601.0,45049.6,179769.72,1601.77,44946.8,56126.0,1603.53,126.0,9.0,9.0,18.0,892125.0,1834 1834 1834 1834 1834 1834 1834 1834 1834
matrix_vector_mul,cint16,cint32,64,8,1,0,0,0,33,2,1,0,0,0,1,22,,1,1,1,29041.0,1741.0,9811.2,29023.88,1741.42,9683.32,3731.0,5660.68,22.0,2.0,2.0,5.0,110054.0,964 1044
matrix_vector_mul,float,cfloat,936,28,1,0,0,0,1,7,9,1,1,0,1,22,,1,1,0,-1.0,-1.0,992.0,-1.0,10493.27,6.4,3201.0,10506.73,252.0,63.0,63.0,83.0,366228.0,1736 1722 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1832 1832 1832 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1832 1736 1832 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1832 1736 1832 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1736 1832 1736 1832 1736 1736 1736 1736 1736 1736
matrix_vector_mul,float,float,8,240,1,0,0,0,50,6,1,0,0,0,1,22,,1,1,0,274072.0,1080.0,96664.0,273389.25,1079.38,88729.23,95811.0,1252.46,67.0,6.0,6.0,11.0,498057.0,2234 2264 2264 2264 2264 2310
matrix_vector_mul,float,cfloat,224,28,1,0,0,0,84,7,7,0,0,0,1,2,,1,1,0,148870.0,10630.0,50276.8,148831.31,10630.34,49518.64,51224.0,12858.73,424.0,49.0,49.0,82.0,2791838.0,1616 1600 1616 1600 1616 1616 1616 1616 1616 1616 1664 1616 1664 1616 1616 1600 1616 1600 1616 1616 1616 1616 1616 1616 1664 1616 1664 1616 1616 1616 1600 1616 1616 1616 1664 1616 1616 1616 1616 1616 1600 1664 1664 1616 1616 1616 1616 1616 1600
matrix_vector_mul,cint32,cint32,4,4,1,0,0,0,47,1,1,0,0,0,1,1,,1,1,1,3379.0,623.0,1937.6,3378.83,623.28,1206.4,827.0,1136.63,7.0,1.0,1.0,2.0,20269.0,1804
matrix_vector_mul,int32,cint32,16,16,1,0,0,0,1,2,1,1,1,1,2,1,,1,1,1,923.0,2370.0,88.0,-1.0,2408.73,-1.0,90.0,3555.55,8.0,2.0,2.0,4.0,6501.0,1764 1880
matrix_vector_mul,int16,cint32,896,16,1,0,0,0,31,4,7,0,0,0,1,1,,1,1,1,31563.0,42084.0,10628.8,31548.0,42087.82,10542.89,5233.0,106157.08,210.0,28.0,28.0,56.0,1228759.0,1706 1746 1746 1882 1706 1746 1746 1882 1706 1746 1746 1882 1706 1746 1746 1882 1706 1746 1746 1882 1706 1746 1746 1882 1706 1746 1746 1882
matrix_vector_mul,cint16,cint32,2912,4,1,0,0,0,1,1,7,1,0,0,1,1,,1,1,1,7546.0,14204.0,846.4,7541.0,14187.08,816.0,958.0,15198.32,28.0,7.0,7.0,7.0,155799.0,1776 1776 1776 1776 1776 1776 1776
matrix_vector_mul,cint32,int32,144,40,1,0,0,0,2,1,6,1,0,0,1,1,,1,1,1,1459.0,23367.0,572.79,1461.12,23496.63,490.4,544.0,26470.58,48.0,6.0,6.0,12.0,206112.0,2688 2688 2688 2688 2688 2688
matrix_vector_mul,int16,cint32,208,352,1,0,0,0,1,4,1,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cint32,int32,32,360,1,0,0,0,7,5,8,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,float,cfloat,512,4,1,0,0,0,2,1,8,1,1,1,1,1,,1,1,1,3966.0,5696.0,54.4,4084.97,7281.6,-1.0,662.0,7745.83,32.0,8.0,8.0,8.0,52624.0,2278 2278 2278 2278 2278 2278 2278 2278
matrix_vector_mul,int32,cint32,8,500,1,0,0,0,2,1,1,0,0,0,1,2,,1,1,1,17682.0,1249.0,11334.4,17681.59,1249.37,6403.2,6072.0,1646.9,13.0,1.0,1.0,3.0,82457.0,1360
matrix_vector_mul,cint32,cint32,88,268,1,0,0,0,1,1,11,0,0,0,1,1,,1,1,1,14971.0,4611.0,5153.6,14939.54,4612.2,5113.46,2064.0,14282.94,77.0,11.0,11.0,22.0,261679.0,1792 1792 1792 1792 1792 1792 1792 1792 1792 1792 1792
matrix_vector_mul,int16,int32,2304,16,1,0,0,0,12,2,8,0,0,0,1,22,,1,1,1,56561.0,31278.0,14284.8,56555.56,31279.55,14135.73,3915.0,141857.36,184.0,16.0,16.0,43.0,1153872.0,1154 1362 1154 1362 1154 1362 1154 1362 1154 1362 1154 1362 1154 1362 1154 1362
matrix_vector_mul,cint16,cint32,8,36,1,0,0,0,9,1,1,1,0,0,1,1,,1,1,1,1687.0,3625.0,1257.59,1686.4,3620.69,716.0,827.0,3917.77,10.0,1.0,1.0,3.0,29297.0,1738
matrix_vector_mul,int16,cint32,48,896,1,0,0,0,1,7,1,0,0,0,1,1,,1,1,1,8654.0,17475.0,5417.6,8654.4,17477.24,2460.8,3050.0,17626.22,48.0,7.0,7.0,14.0,202677.0,1768 1752 1752 1752 1752 1752 1838
matrix_vector_mul,float,cfloat,224,4,1,0,0,0,114,1,7,0,0,0,1,2,,1,1,0,200016.0,1527.0,66947.2,199962.05,1527.02,66833.6,68995.0,1850.56,133.0,7.0,7.0,21.0,885374.0,1632 1632 1632 1632 1632 1632 1632
matrix_vector_mul,int16,cint32,7040,160,1,0,0,0,1,8,5,0,0,0,1,2,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cint32,cint32,8,3040,1,0,0,0,1,8,2,0,0,0,1,22,,1,1,1,16475.0,10000.0,13566.4,16528.22,10000.44,2431.86,3677.0,8267.6,100.0,16.0,16.0,24.0,522120.0,1050 1066 1066 1066 1066 1066 1066 1112 1050 1066 1066 1066 1066 1066 1066 1112
matrix_vector_mul,cfloat,cfloat,24,16,1,0,0,0,18,2,6,1,0,0,1,2,,1,1,1,17476.0,1260.0,6203.2,17437.59,1235.59,5480.8,6988.0,1236.4,48.0,12.0,12.0,18.0,174588.0,1968 2048 1968 2048 1968 2048 1968 2048 1968 2048 1968 2048
matrix_vector_mul,cint32,int32,4,48,1,0,0,0,20,6,1,1,0,0,1,1,,1,1,1,739.0,15673.0,467.2,738.88,15686.27,244.4,255.0,18823.52,36.0,6.0,6.0,12.0,83739.0,1724 1692 1692 1692 1692 1904
matrix_vector_mul,int16,cint32,7584,32,1,0,0,0,1,4,2,1,1,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,int16,int16,3040,48,1,0,0,0,1,1,5,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,int32,int32,64,96,1,0,0,0,9,6,8,1,0,0,1,22,,1,1,1,2315.0,83655.0,1158.4,2315.19,83680.38,660.8,832.0,84087.59,239.0,48.0,48.0,72.0,609200.0,1416 1416 1428 1416 1416 1416 1416 1480 1416 1480 1416 1428 1416 1416 1428 1416 1416 1416 1416 1480 1416 1480 1416 1416 1416 1416 1428 1416 1416 1416 1428 1480 1416 1416 1428 1480 1416 1416 1428 1480 1416 1416 1416 1480 1416 1416 1412 1428
matrix_vector_mul,int32,int16,1288,128,1,0,0,0,2,4,7,1,1,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cint16,cint32,8,4,0,0,0,0,1,1,1,0,0,0,1,22,,1,1,1,-1.0,-1.0,129.6,-1.0,571.42,6.4,35.0,1142.85,7.0,1.0,1.0,2.0,2676.0,836
matrix_vector_mul,cfloat,float,12,216,1,0,0,0,9,9,1,0,0,0,1,22,,1,1,1,84556.0,913.0,37296.0,84643.31,912.47,25536.0,32507.0,897.03,81.0,9.0,9.0,18.0,412840.0,2454 2454 2454 2454 2454 2454 2454 2500 2456
matrix_vector_mul,int16,cint32,32,12,1,0,0,0,8,1,1,0,0,0,1,22,,1,1,1,4891.0,1864.0,2920.0,4891.2,1864.07,1648.0,2025.0,1896.29,7.0,1.0,1.0,2.0,20148.0,1084
matrix_vector_mul,float,cfloat,168,24,1,0,0,0,2,6,3,1,1,1,1,1,,1,1,1,4375.0,15750.0,227.2,-1.0,15778.21,-1.0,625.0,16128.0,72.0,18.0,18.0,36.0,109188.0,2132 2140 2140 2140 2140 2282 2132 2140 2140 2140 2140 2282 2132 2140 2140 2140 2140 2282
matrix_vector_mul,cint32,int32,32,48,1,0,0,0,3,3,8,0,0,0,1,1,,1,1,1,1272.0,14864.0,483.2,1274.09,14845.36,310.4,123.0,46829.26,120.0,24.0,24.0,48.0,137744.0,1916 1948 2000 1916 1948 2000 1916 1948 2000 1916 1948 2000 1916 1948 2000 1916 1948 2000 1916 1948 2000 1916 1948 2000
matrix_vector_mul,cint32,int32,8,1248,1,0,0,0,4,6,1,0,0,0,1,2,,1,1,1,71634.0,1835.0,28683.2,71547.88,1835.15,21703.26,14393.0,3468.35,62.0,6.0,6.0,12.0,373078.0,1296 1344 1344 1344 1344 1392
matrix_vector_mul,float,float,64,24,1,0,0,0,122,3,4,1,0,0,1,22,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,float,cfloat,320,96,1,0,0,0,29,8,8,0,0,0,1,2,,1,1,0,140932.0,19120.0,48289.6,140891.2,19120.57,46548.92,44417.0,25072.04,605.0,64.0,64.0,110.0,4225040.0,1440 1424 1440 1440 1424 1440 1440 1440 1440 1440 1440 1488 1440 1440 1440 1488 1440 1424 1440 1424 1440 1440 1440 1440 1440 1440 1440 1440 1488 1440 1488 1440 1440 1440 1424 1440 1440 1424 1440 1440 1440 1440 1440 1440 1488 1440 1488 1440 1440 1440 1424 1440 1440 1440 1488 1440 1424 1488 1440 1440 1440 1440 1440 1440
matrix_vector_mul,float,float,16,112,1,0,0,0,19,2,2,0,0,0,1,22,,1,1,1,143554.0,721.0,49476.8,143284.11,720.57,47152.98,50759.0,838.47,34.0,4.0,4.0,8.0,182578.0,2234 2310 2234 2310
matrix_vector_mul,float,float,384,8,1,0,0,0,35,1,8,0,0,0,1,2,,1,1,0,182062.0,1770.0,60793.6,182045.71,1770.26,60718.03,62455.0,2151.94,96.0,8.0,8.0,16.0,575112.0,2240 2240 2240 2240 2240 2240 2240 2240
matrix_vector_mul,cint32,int32,4,1328,1,0,0,0,1,2,1,1,0,0,1,1,,default,default,default,,,,,,,,,,,,,,
matrix_vector_mul,cfloat,cfloat,104,16,1,0,0,0,8,2,13,1,0,0,1,2,,1,1,0,15898.0,2685.0,5470.4,15863.42,2636.76,4954.8,6295.0,2643.36,104.0,26.0,26.0,39.0,316706.0,2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096 2000 2096
matrix_vector_mul,cint32,cint16,28,160,1,0,0,0,1,5,7,1,1,0,1,22,,1,1,1,1902.0,24347.0,804.8,1896.8,23032.1,-1.0,302.0,18666.66,133.0,35.0,35.0,69.0,149723.0,1262 1176 1192 1192 1192 1262 1176 1192 1192 1192 1262 1176 1192 1192 1192 1262 1176 1192 1192 1192 1262 1176 1192 1192 1192 1262 1176 1192 1192 1192 1262 1176 1192 1192 1192
