UUT_KERNEL,AIE_VARIANT,DATA_TYPE,DATA_OUT_TYPE,COEFF_TYPE,FIR_LEN,SHIFT,SAT_MODE,ROUND_MODE,INPUT_WINDOW_VSIZE,CASC_LEN,DUAL_IP,USE_COEFF_RELOAD,NUM_OUTPUTS,UUT_SSR,PORT_API,INTERPOLATE_FACTOR,DECIMATE_FACTOR,UUT_PARA_DECI_POLY,UUT_PARA_INTERP_POLY,UPSHIFT_CT,SINGLE_BUF,COMPILE,SIM,FUNC,Latency_last (ns),Throughput_last (MSa/s),Latency_first (ns),Latency (ns),Throughput (MSa/s),Initation Interval_avg (ns),cycleCountAvg,throughputCycleCount (MSa/s),NUM_BANKS,NUM_AIE,NUM_CORES,NUM_TILES,DATA_MEMORY,PROGRAM_MEMORY
fir_sr_asym,22,float,float,float,90,0,0,0,31872,7,0,1,1,1,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,cint16,cint16,int16,44,0,0,0,12032,7,0,0,1,4,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint32,cint32,int32,1736,0,0,0,28,9,0,1,1,7,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,2,cint16,cint16,int16,7,0,0,0,56,1,0,1,1,7,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,cint16,cint16,int16,61,0,0,0,112,1,0,0,2,1,0,1,1,1,1,0,0,1,1,1,1331.0,251.0,3014.4,1331.2,250.47,447.2,477.0,293.5,7.0,1.0,1.0,2.0,6013.0,3028
fir_sr_asym,1,cint16,cint16,int16,9,0,0,0,224,2,1,1,2,1,1,1,1,1,1,0,0,1,1,1,475.0,1092.0,107.2,-1.0,1180.74,-1.0,228.0,1228.07,5.0,2.0,2.0,4.0,5035.0,2270 1970
fir_sr_asym,22,int32,int32,int32,1316,0,0,0,5600,10,0,0,1,7,1,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,22,cint32,cint32,int16,81,0,0,0,8,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,3474.0,25.0,3848.0,3473.6,25.38,315.2,322.0,31.05,5.0,1.0,1.0,2.0,4736.0,3304
fir_sr_asym,1,cint32,cint32,int16,44,0,0,0,88,4,0,0,1,11,0,1,1,1,1,0,0,default,default,default,,,,,,,,,,,,,,
fir_sr_asym,1,float,float,float,42,0,0,0,4608,1,1,0,2,3,1,1,1,1,1,0,0,1,1,1,1801.0,774.0,212.8,1801.6,774.92,5946.4,7431.0,775.65,9.0,9.0,9.0,18.0,31626.0,3116 2916 2958 3116 2916 2958 3116 2916 2958
